Original_Entry_ID,Gene_Symbol,SMILES
5378323,KCNH2,BrC=1C=C(/C(=N/N)/C=2C=CC=CC2)C(N)=CC1
5310636,KCNH2,O1C2=C(C(O)=CC(CCCCC)=C2)C(=CC1=O)C
1752606,KCNH2,S(O)(=O)(N=CCCCCC=NS(O)(=O)C)C
2307021,KCNH2,ClC=1C=CC(C(ON=C2NCCCCC2)=O)=CC1
2374091,KCNH2,S=C(NC1CC1)NC(=O)C2=C(C=CC=C2)C
664741,KCNH2,O=N=1C(CC(C2=C(C1C)C=CC=C2)(C)C)(C)C
1957947,KCNH2,P(=O)(N1CCOCC1)(N2CCOCC2)C(=NO)NCCO
1201475,KCNH2,O(C(=O)C=1N=NN(C1C)C2=NON=C2N)CC
2950401,KCNH2,O(CCCCN1CCCCC1)C2=C(C=CC=C2)C(=O)C
9462870,KCNH2,FC(F)(F)C=1C=C(CC(=O)N2CCCC2)C=CC1
2730752,KCNH2,O1CCN(CC1)C2=NN(N=N2)C(C)C(=O)NN
3872290,KCNH2,N(C(CC=C)C1=CC=CC=C1)CC2=CC=CC=C2
3973396,KCNH2,S=C(N1CCCC1)C=2C(OCC)=CC(OCC)=CC2
6407234,KCNH2,S1C(CC(C)C)=CC=C1/C(=N/O)/C(O)=O
874448,KCNH2,ClC=1C2=C(SC1C(=O)NCC)C=C(C=C2)C
793415,KCNH2,O=C1N(N=C(C=2C1=CC=CC2)CC(=O)O)CC
2922829,KCNH2,ClC1=CC(C(C)(C)C)=C(OCCN2C=CN=C2)C=C1
354525,KCNH2,N1C(CC=2NC=3C(C2C1(C)C)=CC=CC3)(C)C
6894601,KCNH2,BrC=1C=C(C(OCC(=O)O)=CC1)/C=N/O
2342507,KCNH2,S(CC(=O)N1CCCCCC1)C2=N(=O)C=CC=C2
776333,KCNH2,O(C=1C=C(C=2NN=CC2C=O)C=CC1OC)C
CHEMBL3093952,KCNH2,C(CC)CN(C/C=C/CC1=CC=CC=C1)CC
702616,KCNH2,BrC1=CC=C(SC2C(=O)CC(CC2=O)(C)C)C=C1
3237840,KCNH2,ClC1=CC=C(CN2C(C=3OCCN3)=CC=C2)C=C1
70846,KCNH2,ClC=1C=CC(C2C(=O)C=3C(C2=O)=CC=CC3)=CC1
2387463,KCNH2,FC(F)OC1=C(NC(=O)COC(=O)C)C=CC=C1
9551754,KCNH2,OC(C(C)C)(C1=CC=CC=C1)C#CCN2CCCC2
2744000,KCNH2,ClC1=CC=C(C=2ON=C(C2C(OC)=O)C)C=C1
5310738,KCNH2,OC=1N(C2=C(C1C3=NCCCC3)C=CC=C2)CC
6464584,KCNH2,ClC=1C(NC(=O)NCCN2CCCCC2)=CC=CC1Cl
94022,KCNH2,O1C2=C3C=4N(CCC3)CCCC4C=C2C=CC1=O
